FSCS Key,Library Name,ADDRESS,CITY,ZIP,Locale ,Service Area Population,Books and Other Print Material,E-Books,  Audio - Physical,Video - Physical
VA0029,FLUVANNA COUNTY PUBLIC LIBRARY,214 COMMONS BLVD.,PALMYRA,22963,Rural,"27,202","58,266","27,450","3,658","10,500"
VA0030,FRANKLIN COUNTY PUBLIC LIBRARY,355 FRANKLIN ST.,ROCKY MOUNT,24151,Town,"56,011","110,442","13,844","4,364","10,759"
VA0031,GALAX-CARROLL REGIONAL LIBRARY,610 W. STUART DRIVE,GALAX,24333,Town,"35,963","74,820","34,617","3,013","6,713"
VA0032,GLOUCESTER COUNTY PUBLIC LIBRARY,6920 MAIN STREET,GLOUCESTER,23061,Town,"37,175","76,806","2,192,351","8,713","5,383"
VA0033,HALIFAX COUNTY-SOUTH BOSTON LIBRARY SYSTEM,177 S. MAIN ST.,HALIFAX,24558,Town,"34,425","63,815","15,342","1,812","9,634"
VA0034,HAMPTON PUBLIC LIBRARY,4207 VICTORIA BLVD,HAMPTON,23669,City,"136,673","209,408","7,548","11,142","21,796"
VA0035,HANDLEY REGIONAL LIBRARY,100 W. PICCADILLY ST.,WINCHESTER,22601,City,"132,622","202,318","858,154","15,181","36,008"
VA0036,HENRICO COUNTY PUBLIC LIBRARY,1700 NORTH PARHAM ROAD,HENRICO,23229,Suburban,"331,219","449,927","117,940","14,698","34,410"
VA0037,HERITAGE PUBLIC LIBRARY,7791 INVICTA LANE,NEW KENT,23124,Rural,"30,349","44,079","24,470","1,154","2,829"
VA0038,HIGHLAND COUNTY PUBLIC LIBRARY,31 N. WATER STREET,MONTEREY,24465,Rural,"2,240","15,996","914,404","1,470","3,355"
VA0039,JAMES L. HAMNER PUBLIC LIBRARY,16351 DUNN ST.,AMELIA,23002,Rural,"13,142","32,074","23,278","1,518","2,206"
VA0040,JEFFERSON-MADISON REGIONAL LIBRARY,201 EAST MARKET STREET,CHARLOTTESVILLE,22902,City,"232,230","442,950","272,502","20,271","15,223"
VA0041,LANCASTER COMMUNITY LIBRARY,16 TOWN CENTRE DRIVE,KILMARNOCK,22482,Rural,"10,808","40,148","645,211","2,371","3,404"
VA0042,LEWIS EGERTON SMOOT MEMORIAL LIBRARY,9533 KINGS HIGHWAY,KING GEORGE,22485,Town,"26,296","64,253","14,329","3,727","3,807"
VA0043,LONESOME PINE REGIONAL LIBRARY,124 LIBRARY ROAD SW,WISE,24293,Town,"101,922","466,137","3,060","22,418","21,228"
VA0044,LOUDOUN COUNTY PUBLIC LIBRARY,"102 NORTH STREET, NW SUITE A",LEESBURG,20176,Rural,"418,690","479,766","921,950","15,451","44,897"
