TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
TLSA.US,20260323,1.22,1.45,1.22,1.35,385492
TLSI.US,20260323,3.99,3.99,3.76,3.92,236077
TLSIW.US,20260323,1.19,1.1902,1.19,1.1902,2576
TLX.US,20260323,8.81,9.19,8.81,9.13,244007
TMC.US,20260323,5.15,5.18,4.92,5.06,6181012
TMCI.US,20260323,1.25,1.3327,1.245,1.26,598150
TMCWW.US,20260323,0.5701,0.62,0.5006,0.5699,155055
TMDX.US,20260323,114.74,117.9,111.94,112.08,1258282
TMNL.US,20260323,50.1,50.1,49.9634,49.9634,800
TMNS.US,20260323,50.2401,50.29,50.2401,50.2456,750
TMSF.US,20260323,49.48,49.56,49.48,49.56,613
TMUS.US,20260323,207.86,209.68,205.71,208.76,5531048
TMUSI.US,20260323,21.8299,21.8299,21.16,21.32,14227
TMUSL.US,20260323,24.18,24.25,24.05,24.16,11464
TMUSZ.US,20260323,21.42,21.83,21.24,21.38,16185
TNDM.US,20260323,25.87,26.38,24.96,25.09,2170194
TNGX.US,20260323,19.04,19.905,18.93,18.96,3551041
TNMG.US,20260323,2.0925,2.0925,2.01,2.06,8442
TNON.US,20260323,0.7697,0.8082,0.7549,0.8082,131798
TNONW.US,20260323,0.0093,0.0099,0.0065,0.0099,58024
TNXP.US,20260323,15.1,16.1898,15.1,16.08,563059
TNYA.US,20260323,0.75,0.7745,0.7261,0.7515,3463463
TOI.US,20260323,3.4,3.4887,3.12,3.21,2447072
TOIIW.US,20260323,0.0566,0.0566,0.0566,0.0566,1001
TOMZ.US,20260323,0.657,0.695,0.61,0.695,56741
TONX.US,20260323,2.95,3.21,2.87,2.91,743528
TOP.US,20260323,0.8276,0.851999,0.7356,0.775,73854
TORO.US,20260323,3.4,3.55,3.37,3.44,59270
TOUR.US,20260323,0.72,0.73,0.68,0.687,184838
TOWN.US,20260323,33.21,33.635,33.06,33.18,819125
TOYO.US,20260323,8.45,8.69,8.21,8.21,31184
TPCS.US,20260323,3.57,3.74,3.4501,3.57,15683
TPG.US,20260323,41.33,41.9699,39.82,39.96,3100943
TPGXL.US,20260323,24.06,24.33,24.01,24.3,20164
TPST.US,20260323,2.1,2.13,1.72,1.84,449291
TRAW.US,20260323,2.21,2.29,2.05,2.22,42905
TRBF.US,20260323,49.48,49.78,49.19,49.57,6827
TRDA.US,20260323,11.6,11.72,11.07,11.49,225520
TREE.US,20260323,41.52,42.995,40.08,42.7,246856
TRGSU.US,20260323,9.99,9.99,9.99,9.99,144
TRI.US,20260323,93,93.29,89.34,91.05,2580628
TRIB.US,20260323,0.71,0.7165,0.604,0.604,576981
TRIN.US,20260323,14.4575,14.74,14.265,14.62,1327109
TRINI.US,20260323,25.0515,25.07,25.02,25.04,6829
TRINZ.US,20260323,25.045,25.05,25.025,25.04,2242
TRIP.US,20260323,9.55,10.135,9.25,10.04,6184338
TRMB.US,20260323,67.28,67.99,66.79,66.83,2078092
TRMD.US,20260323,25.56,26.69,25.545,26.61,744415
TRMK.US,20260323,41.88,42.57,41.45,41.82,491264
TRNR.US,20260323,1.34,1.465,1.25,1.26,196100
TRNS.US,20260323,72.21,75.43,71.09,72.74,120531
TRON.US,20260323,1.98,2.33,1.97,2.27,2938612
TROO.US,20260323,2.48,2.7,2.46,2.57,87125
TROW.US,20260323,87.6,88.78,86.73,87.98,2212759
TRS.US,20260323,35.07,35.615,35.0029,35.31,754807
TRSG.US,20260323,1.08,1.18,1.08,1.18,14090
TRST.US,20260323,43.66,44.17,43.1,43.19,170856
TRUC.US,20260323,24.865,24.87,24.73,24.7403,24490
TRUG.US,20260323,0.5758,0.63,0.564,0.6157,127442
TRUP.US,20260323,26.35,27.07,25.79,26.26,392824
TRVG.US,20260323,2.74,2.75,2.64,2.67,32829
TRVI.US,20260323,10.96,11,10.4,10.76,2050741
TSAT.US,20260323,37.74,40.99,37.2,40.71,172740
TSBK.US,20260323,39.04,39.7,39.04,39.26,29058
TSCM.US,20260323,18.455,18.455,18.21,18.2379,1309
TSCO.US,20260323,46.6,46.645,45.61,45.67,5776525
TSEM.US,20260323,171.245,181.72,168.53,172.13,5474545
